category,provider_name,brand_or_product,kw_mention_count,example_keyword,priority,source_basis,notes
スマホローン・周辺,auフィナンシャルサービス,au PAY スマートローン,3,au スマートローン カードローン 違い,medium,ubersuggest_keyword_export,カードローン周辺
スマホローン・周辺,LINE Credit,LINEポケットマネー,1,lineポケットマネーはカードローン,medium,ubersuggest_keyword_export,カードローン周辺
スマホローン・周辺,NTTドコモ,dスマホローン,1,dスマホローンとカードローンの違いは何ですか,medium,ubersuggest_keyword_export,カードローン周辺
スマホローン・周辺,メルペイ,メルペイスマートマネー,1,メルペイスマートマネーはカードローン,medium,ubersuggest_keyword_export,カードローン周辺
スマホローン・周辺,ファミマデジタルワン,ファミペイローン,0,,research,manual_provider_candidate,カードローン周辺
信販・カード,JCB,JCB CARD LOAN FAITH,32,jcbカードローン,high,ubersuggest_keyword_export,信販/カードローン
信販・カード,クレディセゾン,MONEY CARD,2,セゾンのカードローン money card gold,high,ubersuggest_keyword_export,信販/カードローン
信販・カード,オリックス・クレジット,ORIX MONEY / VIPローンカード,0,,high,manual_provider_candidate,信販/カードローン
協同組織・その他,ろうきん,労働金庫カードローン,45,ろうきん カードローン,high,ubersuggest_keyword_export,地域別展開候補
協同組織・その他,信用金庫,信用金庫カードローン,10,信用金庫 カードローン,high,ubersuggest_keyword_export,個別信金展開候補
協同組織・その他,JAバンク,JAバンクカードローン,1,カードローン jaバンク,medium,ubersuggest_keyword_export,地域別展開候補
協同組織・その他,信用組合,信用組合カードローン,1,ハナ信用組合 カードローン,medium,ubersuggest_keyword_export,個別信組展開候補
消費者金融・貸金業,アコム,アコム,78,アコムのカードローン,high,ubersuggest_keyword_export,大手消費者金融
消費者金融・貸金業,いつも,いつも,21,いつも カードローン,high,ubersuggest_keyword_export,中小消費者金融
消費者金融・貸金業,SMBCコンシューマーファイナンス,プロミス,13,プロミス カードローン,high,ubersuggest_keyword_export,大手消費者金融
消費者金融・貸金業,アイフル,アイフル,3,アイフル カードローン,high,ubersuggest_keyword_export,大手消費者金融
消費者金融・貸金業,ダイレクトワン,ダイレクトワン,3,ダイレクトワン カードローン,high,ubersuggest_keyword_export,中堅消費者金融
消費者金融・貸金業,新生フィナンシャル,レイク,3,レイク カードローン,high,ubersuggest_keyword_export,大手消費者金融
消費者金融・貸金業,セントラル,セントラル,2,セントラル カードローン,high,ubersuggest_keyword_export,中小消費者金融
消費者金融・貸金業,フタバ,フタバ,2,カードローン フタバ,high,ubersuggest_keyword_export,中小消費者金融
消費者金融・貸金業,ベルーナノーティス,ベルーナノーティス,2,ベルーナノーティス カードローン,high,ubersuggest_keyword_export,中堅消費者金融
消費者金融・貸金業,AZ,AZ,1,カードローン az,high,ubersuggest_keyword_export,中小消費者金融
消費者金融・貸金業,SMBCモビット,SMBCモビット,1,カードローン モビット,high,ubersuggest_keyword_export,大手消費者金融
消費者金融・貸金業,アロー,アロー,1,カードローン アロー,high,ubersuggest_keyword_export,中小消費者金融
消費者金融・貸金業,キャネット,キャネット,1,カードローン キャネット,high,ubersuggest_keyword_export,中小消費者金融
消費者金融・貸金業,ニチデン,ニチデン,1,ニチデン カードローン,high,ubersuggest_keyword_export,中小消費者金融
消費者金融・貸金業,フクホー,フクホー,1,カードローン 在籍確認なし フクホー,high,ubersuggest_keyword_export,中小消費者金融
消費者金融・貸金業,新生フィナンシャル,ノーローン,1,ノーローン カードローン,high,ubersuggest_keyword_export,旧ブランド/要確認
消費者金融・貸金業,エイワ,エイワ,0,,high,manual_provider_candidate,中小消費者金融
銀行-その他,東京スター銀行,スターカードローン,9,東京スター銀行カードローン,medium,ubersuggest_keyword_export,銀行カードローン
銀行-ネット,セブン銀行,セブン銀行カードローン,203,セブン銀行 カードローン,high,ubersuggest_keyword_export,ネット銀行カードローン
銀行-ネット,イオン銀行,イオン銀行カードローン,159,カードローン イオン銀行,high,ubersuggest_keyword_export,ネット/流通系銀行カードローン
銀行-ネット,PayPay銀行,PayPay銀行カードローン,95,pay pay 銀行カードローン,high,ubersuggest_keyword_export,ネット銀行カードローン
銀行-ネット,オリックス銀行,オリックス銀行カードローン,50,オリックス 銀行カードローン,high,ubersuggest_keyword_export,ネット銀行カードローン
銀行-ネット,楽天銀行,楽天銀行スーパーローン,42,カードローン 楽天銀行,high,ubersuggest_keyword_export,ネット銀行カードローン
銀行-ネット,auじぶん銀行,じぶんローン,39,auじぶん銀行カードローン,high,ubersuggest_keyword_export,ネット銀行カードローン
銀行-ネット,ソニー銀行,ソニー銀行カードローン,37,ソニー銀行 カードローン,high,ubersuggest_keyword_export,ネット銀行カードローン
銀行-ネット,住信SBIネット銀行,住信SBIネット銀行カードローン,32,住信sbiネット銀行 カードローン,high,ubersuggest_keyword_export,ネット銀行カードローン
銀行-ネット,SBI新生銀行,SBI新生銀行カードローン,10,sbi新生銀行カードローン,high,ubersuggest_keyword_export,ネット/銀行カードローン
銀行-ネット,GMOあおぞらネット銀行,GMOあおぞらネット銀行カードローン候補,1,gmoあおぞらネット銀行カードローン,high,ubersuggest_keyword_export,要確認/検索候補
銀行-メガ/都市,三井住友銀行,三井住友銀行カードローン,197,三井住友銀行 カードローン,high,ubersuggest_keyword_export,銀行カードローン
銀行-メガ/都市,みずほ銀行,みずほ銀行カードローン,191,みずほ 銀行 カードローン,high,ubersuggest_keyword_export,銀行カードローン
銀行-メガ/都市,りそな銀行,りそな銀行カードローン,58,埼玉りそな銀行 カードローン,high,ubersuggest_keyword_export,銀行カードローン
銀行-メガ/都市,三菱UFJ銀行,バンクイック,15,三菱ufj銀行 カードローン,high,ubersuggest_keyword_export,銀行カードローン
銀行-メガ/都市,埼玉りそな銀行,埼玉りそな銀行カードローン,2,埼玉りそな銀行 カードローン,high,ubersuggest_keyword_export,銀行カードローン
銀行-地方,横浜銀行,横浜銀行カードローン,91,横浜銀行 カードローン,high,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,福岡銀行,福岡銀行カードローン,47,福岡銀行カードローン,high,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,スルガ銀行,スルガ銀行カードローン,30,カードローン スルガ銀行,high,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,千葉銀行,ちばぎんカードローン,30,カードローン千葉銀行,high,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,北海道銀行,北海道銀行カードローン,17,北海道銀行 カードローン,high,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,関西みらい銀行,関西みらい銀行カードローン,15,関西みらい銀行 カードローン,high,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,足利銀行,あしぎんカードローン,14,足利銀行カードローン,high,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,南都銀行,南都銀行カードローン,13,カードローン 南都銀行,high,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,岩手銀行,岩手銀行カードローン,13,カードローン 岩手銀行,high,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,きらぼし銀行,きらぼし銀行カードローン,10,きら ぼ し 銀行カードローン,high,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,西日本シティ銀行,西日本シティ銀行カードローン,10,西日本 シティ銀行カードローン,high,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,十六銀行,十六銀行カードローン,8,十 六 銀行カードローン,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,京葉銀行,京葉銀行カードローン,7,カードローン 京葉銀行,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,静岡銀行,しずぎんカードローン,7,カードローン 静岡銀行,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,京都銀行,京都銀行カードローン,5,京都銀行カードローン,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,仙台銀行,仙台銀行カードローン,5,カードローン 仙台銀行,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,武蔵野銀行,むさしのスマートネクスト,5,武蔵野銀行 カードローン,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,熊本銀行,熊本銀行カードローン,5,熊本銀行 カードローン,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,もみじ銀行,もみじ銀行カードローン,4,もみじ銀行 カードローン,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,七十七銀行,七十七銀行カードローン,4,カードローン 七十七銀行,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,四国銀行,四国銀行カードローン,4,カードローン 四国銀行,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,常陽銀行,常陽銀行カードローン,4,カードローン 常陽銀行,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,滋賀銀行,滋賀銀行カードローン,4,カードローン 滋賀銀行,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,筑波銀行,筑波銀行カードローン,4,筑波銀行 カードローン,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,伊予銀行,伊予銀行カードローン,3,カードローン 伊予銀行,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,八十二銀行,八十二銀行カードローン,3,カードローン 八十二銀行,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,大分銀行,大分銀行カードローン,3,大分銀行 カードローン,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,広島銀行,広島銀行カードローン,3,カードローン 広島銀行,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,愛知銀行,愛知銀行カードローン,3,カードローン 愛知銀行,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,東北銀行,東北銀行カードローン,3,東北銀行 カードローン,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,東邦銀行,東邦銀行カードローン,3,東邦銀行 カードローン,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,百五銀行,百五銀行カードローン,3,カードローン 百五銀行,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,秋田銀行,秋田銀行カードローン,3,カードローン 秋田銀行,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,第四北越銀行,第四北越銀行カードローン,3,第四 北越銀行 カードローン,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,肥後銀行,肥後銀行カードローン,3,カードローン 肥後銀行,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,鹿児島銀行,鹿児島銀行カードローン,3,カードローン 鹿児島銀行,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,中国銀行,中国銀行カードローン,2,カードローン 中国銀行,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,但馬銀行,但馬銀行カードローン,2,但馬銀行カードローン 残高 確認,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,北洋銀行,北洋銀行カードローン,2,北洋銀行 カードローン,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,十八親和銀行,十八親和銀行カードローン,2,十 八 親和銀行カードローン,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,宮崎銀行,宮崎銀行カードローン,2,宮崎銀行 カードローン,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,山口銀行,山口銀行カードローン,2,山口銀行 カードローン,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,山形銀行,山形銀行カードローン,2,山形銀行 カードローン,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,山梨中央銀行,山梨中央銀行カードローン,2,山梨中央銀行 カードローン,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,池田泉州銀行,池田泉州銀行カードローン,2,池田泉州銀行 カードローン,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,琉球銀行,琉球銀行カードローン,2,琉球銀行 カードローン,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,福井銀行,福井銀行カードローン,2,カードローン 福井銀行,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,紀陽銀行,紀陽銀行カードローン,2,紀陽銀行 カードローン,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,阿波銀行,阿波銀行カードローン,2,阿波銀行 カードローン,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,青森みちのく銀行,青森みちのく銀行カードローン,2,青森みちのく銀行 カードローン,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,青森銀行,青森銀行カードローン,2,カードローン 青森銀行,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,佐賀銀行,佐賀銀行カードローン,1,佐賀銀行 カードローン,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,北九州銀行,北九州銀行カードローン,1,北九州 銀行カードローン 審査結果,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,北陸銀行,北陸銀行カードローン,1,北陸銀行 カードローン,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,南日本銀行,南日本銀行カードローン,1,南日本銀行カードローン,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,名古屋銀行,名古屋銀行カードローン,1,名古屋銀行カードローン,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,宮崎太陽銀行,宮崎太陽銀行カードローン,1,宮崎太陽銀行のtポイント付カードローン,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,富山銀行,富山銀行カードローン,1,富山銀行 カードローン,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,群馬銀行,群馬銀行カードローン,1,群馬銀行のカードローン,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,荘内銀行,荘内銀行カードローン,1,荘内銀行カードローン1000,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,鳥取銀行,鳥取銀行カードローン,1,鳥取銀行カードローン,medium,ubersuggest_keyword_export,地方銀行カードローン
銀行-地方,中京銀行,中京銀行カードローン,0,,research,manual_provider_candidate,地方銀行カードローン
銀行-地方,北都銀行,北都銀行カードローン,0,,research,manual_provider_candidate,地方銀行カードローン
銀行-地方,大垣共立銀行,大垣共立銀行カードローン,0,,research,manual_provider_candidate,地方銀行カードローン
銀行-地方,大東銀行,大東銀行カードローン,0,,research,manual_provider_candidate,地方銀行カードローン
銀行-地方,富山第一銀行,富山第一銀行カードローン,0,,research,manual_provider_candidate,地方銀行カードローン
銀行-地方,山陰合同銀行,山陰合同銀行カードローン,0,,research,manual_provider_candidate,地方銀行カードローン
銀行-地方,沖縄海邦銀行,沖縄海邦銀行カードローン,0,,research,manual_provider_candidate,地方銀行カードローン
銀行-地方,沖縄銀行,沖縄銀行カードローン,0,,research,manual_provider_candidate,地方銀行カードローン
銀行-地方,清水銀行,清水銀行カードローン,0,,research,manual_provider_candidate,地方銀行カードローン
銀行-地方,百十四銀行,百十四銀行カードローン,0,,research,manual_provider_candidate,地方銀行カードローン
銀行-地方,長野銀行,長野銀行カードローン,0,,research,manual_provider_candidate,地方銀行カードローン
